entity_id,state,last_changed
sensor.available_current_l1,16,2025-05-01T12:30:59.444Z
sensor.available_current_l1,12,2025-05-01T12:31:39.851Z
sensor.available_current_l1,15,2025-05-01T12:31:41.013Z
sensor.available_current_l1,16,2025-05-01T12:31:42.615Z
sensor.available_current_l1,12,2025-05-01T12:32:24.919Z
sensor.available_current_l1,16,2025-05-01T12:32:25.921Z
sensor.available_current_l1,13,2025-05-01T12:33:08.628Z
sensor.available_current_l1,14,2025-05-01T12:33:09.986Z
sensor.available_current_l1,16,2025-05-01T12:33:11.395Z
sensor.available_current_l1,14,2025-05-01T12:34:17.108Z
sensor.available_current_l1,16,2025-05-01T12:34:18.717Z
sensor.available_current_l1,12,2025-05-01T12:35:02.632Z
sensor.available_current_l1,16,2025-05-01T12:35:03.830Z
sensor.available_current_l1,12,2025-05-01T12:36:07.152Z
sensor.available_current_l1,16,2025-05-01T12:36:08.390Z
sensor.available_current_l1,14,2025-05-01T12:36:52.167Z
sensor.available_current_l1,16,2025-05-01T12:36:53.438Z
sensor.available_current_l1,15,2025-05-01T12:37:06.893Z
sensor.available_current_l1,16,2025-05-01T12:37:08.134Z
sensor.available_current_l1,15,2025-05-01T12:37:22.966Z
sensor.available_current_l1,16,2025-05-01T12:37:23.968Z
sensor.available_current_l1,13,2025-05-01T12:37:53.621Z
sensor.available_current_l1,16,2025-05-01T12:37:54.945Z
sensor.available_current_l1,12,2025-05-01T12:38:37.374Z
sensor.available_current_l1,15,2025-05-01T12:38:38.441Z
sensor.available_current_l1,16,2025-05-01T12:38:39.728Z
sensor.available_current_l1,14,2025-05-01T12:39:43.424Z
sensor.available_current_l1,12,2025-05-01T12:39:44.565Z
sensor.available_current_l1,16,2025-05-01T12:39:45.899Z
sensor.available_current_l1,12,2025-05-01T12:40:28.458Z
sensor.available_current_l1,14,2025-05-01T12:40:29.884Z
sensor.available_current_l1,16,2025-05-01T12:40:30.886Z
sensor.available_current_l1,12,2025-05-01T12:41:13.674Z
sensor.available_current_l1,16,2025-05-01T12:41:14.847Z
sensor.available_current_l1,12,2025-05-01T12:42:28.441Z
sensor.available_current_l1,15,2025-05-01T12:42:29.870Z
sensor.available_current_l1,16,2025-05-01T12:42:30.877Z
sensor.available_current_l1,13,2025-05-01T12:43:13.908Z
sensor.available_current_l1,15,2025-05-01T12:43:15.155Z
sensor.available_current_l1,16,2025-05-01T12:43:18.092Z
sensor.available_current_l1,15,2025-05-01T12:43:58.441Z
sensor.available_current_l1,16,2025-05-01T12:43:59.820Z
sensor.available_current_l1,15,2025-05-01T12:44:42.497Z
sensor.available_current_l1,16,2025-05-01T12:44:47.416Z
sensor.available_current_l1,15,2025-05-01T12:45:00.565Z
sensor.available_current_l1,16,2025-05-01T12:45:03.287Z
sensor.available_current_l1,12,2025-05-01T12:45:04.695Z
sensor.available_current_l1,15,2025-05-01T12:45:05.978Z
sensor.available_current_l1,16,2025-05-01T12:45:07.200Z
sensor.available_current_l1,13,2025-05-01T12:45:49.587Z
sensor.available_current_l1,16,2025-05-01T12:45:50.872Z
sensor.available_current_l1,15,2025-05-01T12:46:55.443Z
sensor.available_current_l1,16,2025-05-01T12:46:56.631Z
sensor.available_current_l1,15,2025-05-01T12:47:22.438Z
sensor.available_current_l1,12,2025-05-01T12:47:39.990Z
sensor.available_current_l1,15,2025-05-01T12:47:41.241Z
sensor.available_current_l1,16,2025-05-01T12:47:42.533Z
sensor.available_current_l1,15,2025-05-01T12:48:24.856Z
sensor.available_current_l1,16,2025-05-01T12:48:25.868Z
sensor.available_current_l1,15,2025-05-01T12:48:49.866Z
sensor.available_current_l1,14,2025-05-01T12:48:52.162Z
sensor.available_current_l1,15,2025-05-01T12:49:01.158Z
sensor.available_current_l1,14,2025-05-01T12:49:05.922Z
sensor.available_current_l1,13,2025-05-01T12:49:09.849Z
sensor.available_current_l1,12,2025-05-01T12:49:21.857Z
sensor.available_current_l1,11,2025-05-01T12:49:31.070Z
sensor.available_current_l1,12,2025-05-01T12:49:36.895Z
sensor.available_current_l1,8,2025-05-01T12:49:37.896Z
sensor.available_current_l1,12,2025-05-01T12:49:38.897Z
sensor.available_current_l1,13,2025-05-01T12:49:44.902Z
sensor.available_current_l1,14,2025-05-01T12:49:47.070Z
sensor.available_current_l1,15,2025-05-01T12:49:53.567Z
sensor.available_current_l1,14,2025-05-01T12:50:07.470Z
sensor.available_current_l1,15,2025-05-01T12:50:16.248Z
sensor.available_current_l1,16,2025-05-01T12:50:20.609Z
sensor.available_current_l1,15,2025-05-01T12:52:20.888Z
sensor.available_current_l1,16,2025-05-01T12:52:21.890Z
sensor.available_current_l1,15,2025-05-01T12:53:05.859Z
sensor.available_current_l1,16,2025-05-01T12:53:06.929Z
sensor.available_current_l1,15,2025-05-01T12:53:49.866Z
sensor.available_current_l1,16,2025-05-01T12:53:50.884Z
sensor.available_current_l1,14,2025-05-01T12:54:59.693Z
sensor.available_current_l1,16,2025-05-01T12:55:00.709Z
sensor.available_current_l1,12,2025-05-01T12:55:44.453Z
sensor.available_current_l1,16,2025-05-01T12:55:45.831Z
sensor.available_current_l1,15,2025-05-01T12:56:28.937Z
sensor.available_current_l1,13,2025-05-01T12:56:29.939Z
sensor.available_current_l1,16,2025-05-01T12:56:31.208Z
sensor.available_current_l1,13,2025-05-01T12:57:40.935Z
sensor.available_current_l1,16,2025-05-01T12:57:42.118Z
sensor.available_current_l1,12,2025-05-01T12:58:25.939Z
sensor.available_current_l1,16,2025-05-01T12:58:26.946Z
sensor.available_current_l1,15,2025-05-01T12:58:53.655Z
sensor.available_current_l1,16,2025-05-01T12:58:54.976Z
sensor.available_current_l1,12,2025-05-01T13:00:24.827Z
sensor.available_current_l1,16,2025-05-01T13:00:26.130Z
sensor.available_current_l1,12,2025-05-01T13:01:08.620Z
sensor.available_current_l1,15,2025-05-01T13:01:09.920Z
sensor.available_current_l1,16,2025-05-01T13:01:10.921Z
sensor.available_current_l1,15,2025-05-01T13:01:42.099Z
sensor.available_current_l1,16,2025-05-01T13:01:44.888Z
sensor.available_current_l1,12,2025-05-01T13:01:53.364Z
sensor.available_current_l1,16,2025-05-01T13:01:54.523Z
sensor.available_current_l1,12,2025-05-01T13:03:03.666Z
sensor.available_current_l1,15,2025-05-01T13:03:04.992Z
sensor.available_current_l1,16,2025-05-01T13:03:05.993Z
sensor.available_current_l1,13,2025-05-01T13:03:49.150Z
sensor.available_current_l1,16,2025-05-01T13:03:50.583Z
sensor.available_current_l1,14,2025-05-01T13:04:53.541Z
sensor.available_current_l1,16,2025-05-01T13:04:54.625Z
sensor.available_current_l1,15,2025-05-01T13:05:03.588Z
sensor.available_current_l1,16,2025-05-01T13:05:30.395Z
sensor.available_current_l1,12,2025-05-01T13:05:39.047Z
sensor.available_current_l1,16,2025-05-01T13:05:40.839Z
sensor.available_current_l1,15,2025-05-01T13:05:47.951Z
sensor.available_current_l1,16,2025-05-01T13:05:50.782Z
sensor.available_current_l1,15,2025-05-01T13:05:59.119Z
sensor.available_current_l1,16,2025-05-01T13:06:13.899Z
sensor.available_current_l1,15,2025-05-01T13:06:18.905Z
sensor.available_current_l1,16,2025-05-01T13:06:19.907Z
sensor.available_current_l1,14,2025-05-01T13:06:22.910Z
sensor.available_current_l1,12,2025-05-01T13:06:23.912Z
sensor.available_current_l1,16,2025-05-01T13:06:24.913Z
sensor.available_current_l1,15,2025-05-01T13:07:32.910Z
sensor.available_current_l1,12,2025-05-01T13:07:33.916Z
sensor.available_current_l1,16,2025-05-01T13:07:34.986Z
